texto,movilidad,oido,vista
"no oigo ni papa, por otro lado uso gafas para leer pero ando con muletas.",0,0,1
sin problemas de oido pero ojos sensibles,1,1,2
puedo andar sin problemas ademas veo destellos constantemente. el ruido fuerte me daña.,1,2,2
no soporto estar atrapado aunque me duele el ojo,2,1,0
toy ciego sin problemas de oido,1,1,0
escucho las conversaciones sin problema aunque mi agudeza visual es correcta,1,1,1
"no soporto las luces brillantes pero tengo necesidad constante de moverme, por otro lado uso lenguaje de senas.",2,0,2
ando en silla de ruedas,0,1,1
sensible a pitidos y no me puedo quedar quieto aunque me duelen los ojos.,2,2,0
"de la vista ando bien aunque puedo andar sin problemas, por otro lado audicion sin problemas.",1,1,1
"me muevo con normalidad y oigo muy mal, por otro lado no soporto las luces brillantes.",1,0,2
oigo bien,1,1,1
no soporto estar atrapado,2,1,1
"no tengo ojos, oigo bien. necesidad de moverme siempre.",2,1,0
ojos sensibles,1,1,2
escucho los ruidos demasiado fuertes,1,2,1
el ruido fuerte me daña y hipermovilidad,2,2,1
soy paraplejico pero tengo fotofobia pero no escucho nada.,0,0,2
"me muevo compulsivamente ademas no oigo ni papa, por otro lado soy ciego parcialmente.",2,0,0
tengo movilidad muy reducida ademas tengo muy poca audicion,0,0,1
"sin problemas de vista ademas de oido ando perfecto, por otro lado no me puedo quedar quieto.",2,1,1
escucho las conversaciones sin problema,1,1,1
tengo vision nula. tengo audicion normal,1,1,0
"soy paralitico, no soporto las luces brillantes",0,1,2
me muevo con normalidad. veo lo estandar pero oigo bien.,1,1,1
tengo movilidad muy reducida,0,1,1
no escucho nada aunque veo lo estandar. invalido.,0,0,1
no soporto el volumen alto. ando bien de las piernas,1,2,1
"no tengo piernas, hiperaudicion",0,2,1
oigo bien,1,1,1
voy en silla no oigo ni papa,0,0,1
sensible a pitidos,1,2,1
no puedo mover las piernas,0,1,1
me duelen los ojos,1,1,0
veo bien,1,1,1
ruido ambiental me agobia,1,2,1
me muevo con normalidad. oido demasiado sensible tengo fotofobia.,1,2,2
sin problemas de oido. voy en silla pero no veo casi nada.,0,1,0
ruido ambiental me agobia,1,2,1
"tengo tdah aunque no soporto el volumen alto, por otro lado dolor de ojos.",2,2,0
tengo hiperactividad,2,1,1
ando cojo aunque hipervision,0,1,2
uso gafas para leer,1,1,1
necesito ambiente oscuro,1,1,2
"ruido ambiental me agobia, uso gafas para leer",1,2,1
no tengo problemas en los ojos aunque mi movilidad es normal,1,1,1
me cuesta mucho caminar,0,1,1
toy sordo,1,0,1
mi oido es normal,1,1,1
me muevo con normalidad. ciego de nacimiento,1,1,0
me duele el ojo,1,1,0
ningun problema para caminar,1,1,1
no puedo andar,0,1,1
"tengo audicion nula, por otro lado soy hiperactivo",2,0,1
"voy en silla, no oigo nada",0,0,1
"no tengo orejas, me muevo con normalidad, no tengo ojos.",1,0,0
"audicion sin problemas, estoy postrado",0,1,1
sin problemas de movilidad aunque tapon en el oido,1,0,1
"soy paralitico. mi oido es normal, por otro lado me duele el ojo.",0,1,0
tengo sordera profunda,1,0,1
"toy ciego, por otro lado voy en silla",0,1,0
"ando bien de las piernas, por otro lado pantallas muy brillantes me duelen y sordo total.",1,0,2
"dolor de ojos aunque tengo muy poca audicion, por otro lado camino bien.",1,0,0
no me puedo quedar quieto,2,1,1
"escucho perfectamente ademas camino bien, me duele el ojo.",1,1,0
no soporto las luces brillantes,1,1,2
tengo necesidad constante de moverme aunque no oigo ni papa. no tengo problemas en los ojos.,2,0,1
tengo vision nula,1,1,0
"toy ciego, por otro lado hipermovilidad, tapon en el oido.",2,0,0
ando en silla de ruedas ademas no tengo problemas en los ojos aunque no me funcionan los oidos.,0,0,1
oigo muy mal pero dificultad severa para moverme y me molesta mucho la luz.,0,0,2
"no soporto el volumen alto, por otro lado necesidad de moverme siempre, por otro lado uso gafas para leer.",2,2,1
puedo andar sin problemas,1,1,1
"sin problemas de oido aunque la luz me deslumbra demasiado, por otro lado invalido.",0,1,2
soy ciego parcialmente,1,1,0
no puedo mover las piernas,0,1,1
no oigo nada aunque ojos sensibles y puedo andar sin problemas.,1,0,2
tengo ceguera total aunque escucho las conversaciones sin problema,1,1,0
mi vista es normal,1,1,1
"vista de aguila, por otro lado tengo hiperacusia",1,2,2
orejas sensibles. soy paralitico,0,2,1
mi oido es normal,1,1,1
"tengo audicion nula. mi movilidad es normal, por otro lado no veo casi nada.",1,0,0
me cuesta mucho caminar mi vista es normal. sin sentido del oido.,0,0,1
llevo lentillas y veo bien pero no escucho nada,1,0,1
audicion sin problemas,1,1,1
escucho los ruidos demasiado fuertes aunque vista de aguila ademas camino perfectamente.,1,2,2
tengo hipersensibilidad visual,1,1,2
tengo hipersensibilidad auditiva pero sufro tdah y tengo hipersensibilidad visual.,2,2,2
sin problemas de oido,1,1,1
camino con mueletas. tengo sordera profunda pero perdi el ojo.,0,0,0
escucho perfectamente,1,1,1
oigo bien,1,1,1
"tengo tdah, oigo muy mal pero uso gafas para leer.",2,0,1
"tengo audicion normal aunque mi movilidad es normal, por otro lado todo ok con la vista.",1,1,1
veo bien no puedo mover las piernas,0,1,1
escucho todo muy apagado,1,0,1
ningun problema para caminar,1,1,1
"casi no tengo vista, necesidad de moverme siempre",2,1,0
"sufro tdah, ruido ambiental me agobia",2,2,1
camino bien,1,1,1
"tengo hiperacusia, pantallas muy brillantes me duelen",1,2,2
"no me puedo quedar quieto, hipervision. toy sordo.",2,0,2
"me molesta mucho la luz aunque no puedo andar, oido demasiado sensible.",0,2,2
puedo andar sin problemas hiperaudicion,1,2,1
camino bien. tengo audicion normal. mi agudeza visual es correcta.,1,1,1
veo bien y me molestan mucho los ruidos y necesidad de moverme siempre.,2,2,1
tengo audicion normal,1,1,1
veo muy mal ademas soy sordo. necesito espacio amplio.,2,0,0
camino perfectamente,1,1,1
escucho todo muy apagado y tengo necesidad constante de moverme ademas ojos sensibles.,2,0,2
"escucho las conversaciones sin problema aunque sufro tdah, por otro lado los brillos me hacen daño en los ojos.",2,1,2
no escucho nada me muevo compulsivamente,2,0,1
toy sordo aunque camino bien,1,0,1
no escucho nada,1,0,1
mi movilidad es normal,1,1,1
mi vista es normal,1,1,1
"luz solar me ciega aunque de oido ando perfecto, por otro lado tengo hiperactividad.",2,1,2
escucho perfectamente,1,1,1
"soy paralitico ademas oigo genial, por otro lado no distingo formas ni colores.",0,1,0
"luz solar me ciega, sin sentido del oido ademas ando bien de las piernas.",1,0,2
tengo fotofobia,1,1,2
veo destellos constantemente,1,1,2
de oido ando perfecto. ningun problema para caminar,1,1,1
veo muy mal,1,1,0
camino con mueletas,0,1,1
veo perfectamente no tengo piernas pero no escucho nada.,0,0,1
sensible a pitidos tengo hipersensibilidad visual,1,2,2
tengo sordera profunda,1,0,1
"no oigo ni papa, por otro lado me muevo con normalidad",1,0,1
tengo audicion normal,1,1,1
de la vista ando bien,1,1,1
tengo hipersensibilidad auditiva. camino muy lento,0,2,1
soy paraplejico pero escucho las conversaciones sin problema aunque no distingo formas ni colores.,0,1,0
"no tengo piernas perdi el ojo, hiperaudicion.",0,2,0
mi agudeza visual es correcta sin sentido del oido y tengo tdah.,2,0,1
ando en silla de ruedas ademas oigo genial,0,1,1
camino con mueletas. sin problemas de oido,0,1,1
"no oigo nada, por otro lado me duelen los ojos",1,0,0
todo ok con la vista pero escucho las conversaciones sin problema. ando con muletas.,0,1,1
"tengo muy poca audicion, por otro lado todo ok con la vista",1,0,1
no veo nada,1,1,0
escucho perfectamente,1,1,1
uso baston para ciegos,1,1,0
"no soporto las luces brillantes, por otro lado oido demasiado sensible, por otro lado ando cojo.",0,2,2
tengo hipersensibilidad auditiva. no puedo caminar,0,2,1
voy en silla,0,1,1
me muevo con normalidad ademas sin sentido del oido. no distingo formas ni colores.,1,0,0
toy sordo,1,0,1
tengo hipersensibilidad auditiva aunque pantallas muy brillantes me duelen ando cojo.,0,2,2
"tengo vision normal, los sonidos agudos me dan dolor de cabeza y estoy inmovilizado.",0,2,1
"luz solar me ciega aunque me muevo compulsivamente, por otro lado tengo audicion normal.",2,1,2
no tengo ojos pero hipermovilidad,2,1,0
sin problemas de movilidad,1,1,1
mi agudeza visual es correcta sin problemas de movilidad,1,1,1
no veo casi nada y no me funcionan los oidos soy hiperactivo.,2,0,0
los sonidos agudos me dan dolor de cabeza y perdi el ojo pero necesito espacio amplio.,2,2,0
"veo destellos constantemente, por otro lado puedo andar sin problemas",1,1,2
sin problemas de oido ademas tengo hipersensibilidad visual,1,1,2
me muevo con normalidad,1,1,1
sensible a pitidos ademas llevo lentillas y veo bien aunque no puedo subir escaleras.,0,2,1
sin sentido del oido y uso gafas para leer. tengo tdah.,2,0,1
ando cojo,0,1,1
tengo hipersensibilidad auditiva. la luz me deslumbra demasiado,1,2,2
"escucho todo muy apagado, por otro lado tengo hipersensibilidad visual y sufro tdah.",2,0,2
tengo audicion nula ademas me muevo compulsivamente,2,0,1
voy en silla,0,1,1
"tengo hiperacusia, por otro lado luz solar me ciega. voy en silla.",0,2,2
tengo tdah,2,1,1
